"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"Dijk en Waard";"2021";""
"Dinkelland";"2021";"471"
"Dinteloord en Prinsenland";"2021";""
"Dinxperlo";"2021";""
"Dirksland";"2021";""
"Dodewaard";"2021";""
"Doesburg";"2021";"863"
"Doetinchem";"2021";"1154"
"Domburg";"2021";""
"Dongen";"2021";"1218"
"Dongeradeel";"2021";""
"Doorn";"2021";""
"Dordrecht";"2021";"2523"
"Drechterland";"2021";"505"
"Driebergen-Rijsenburg";"2021";""
"Drimmelen";"2021";"788"
"Dronten";"2021";"776"
"Drunen";"2021";""
"Druten";"2021";"802"
"Duiveland";"2021";""
"Duiven";"2021";"1160"
"Den Dungen";"2021";""
"Dussen";"2021";""
"Dwingeloo";"2021";""
"Echt";"2021";""
"Echteld";"2021";""
"Echt-Susteren";"2021";"716"
"Edam-Volendam";"2021";"1318"
"Ede";"2021";"1568"
"Eelde";"2021";""
"Eemnes";"2021";"956"
"Eemsdelta";"2021";"692"
"Eemsmond";"2021";""
"Eersel";"2021";"580"
"Egmond";"2021";""
"Eibergen";"2021";""
"Eijsden";"2021";""
"Eijsden-Margraten";"2021";"466"
"Eindhoven";"2021";"2711"
"Elburg";"2021";"683"
"Elst";"2021";""
"Emmen";"2021";"854"
"Enkhuizen";"2021";"1388"
"Enschede";"2021";"2187"
"Epe";"2021";"745"
"Ermelo";"2021";"911"
"Esch";"2021";""
"Etten-Leur";"2021";"1670"
"Ferwerderadeel";"2021";""
"Ferwerderadiel";"2021";""
"Fijnaart en Heijningen";"2021";""
"Franekeradeel";"2021";""
"De Friese Meren";"2021";""
"De Fryske Marren";"2021";"556"
"Gaasterlân-Sleat";"2021";""
"Gasselte";"2021";""
"Geertruidenberg";"2021";"1090"
"Geldermalsen";"2021";""
"Geldrop";"2021";""
"Geldrop-Mierlo";"2021";"1369"
"Geleen";"2021";""
"Gemert";"2021";""
"Gemert-Bakel";"2021";"774"
"Gendringen";"2021";""
"Gendt";"2021";""
"Genemuiden";"2021";""
"Gennep";"2021";"644"
"Giessenlanden";"2021";""
"Gieten";"2021";""
"Gilze en Rijen";"2021";"1088"
"Goedereede";"2021";""
"Goeree-Overflakkee";"2021";"631"
"Goes";"2021";"1348"
"Goirle";"2021";"1181"
"Gooise Meren";"2021";"1911"
"Goor";"2021";""
"Gorinchem";"2021";"1735"
"Gorssel";"2021";""
"Gouda";"2021";"2540"
"Graafstroom";"2021";""
"Graft-De Rijp";"2021";""
"Gramsbergen";"2021";""
"Grave";"2021";"639"
"'s-Graveland";"2021";""
"'s-Gravendeel";"2021";""
"'s-Gravenhage (gemeente)";"2021";"4994"
"'s-Gravenmoer";"2021";""
"'s-Gravenzande";"2021";""
"Groenlo";"2021";""
"Groesbeek";"2021";""
"Groningen (gemeente)";"2021";"3312"
"Grootegast";"2021";""
"Grubbenvorst";"2021";""
"Gulpen";"2021";""
"Gulpen-Wittem";"2021";"289"
"Haaksbergen";"2021";"1044"
"Haaren";"2021";""
"Haarlem";"2021";"3591"
"Haarlemmerliede en Spaarnwoude";"2021";""
"Haarlemmermeer";"2021";"1532"
"Haelen";"2021";""
"Halderberge";"2021";"758"
"Halsteren";"2021";""
"Den Ham";"2021";""
"Hardenberg";"2021";"565"
"Harderwijk";"2021";"1551"
"Hardinxveld-Giessendam";"2021";"988"
"Haren";"2021";""
"Harenkarspel";"2021";""
"Harlingen";"2021";"1086"
"Harmelen";"2021";""
"Hasselt";"2021";""
"Hattem";"2021";"822"
"Havelte";"2021";""
"Hedel";"2021";""
"Heel";"2021";""
"Heemskerk";"2021";"2346"
"Heemstede";"2021";"1781"
"Heerde";"2021";"615"
"Heerenveen";"2021";"1092"
"Heerewaarden";"2021";""
"Heerhugowaard";"2021";"1693"
"Heerjansdam";"2021";""
"Heerlen";"2021";"1817"
"Heesch";"2021";""
"Heeze";"2021";""
"Heeze-Leende";"2021";"585"
"Heiloo";"2021";"1358"
"Heino";"2021";""
"Helden";"2021";""
"Den Helder";"2021";"1696"
"Hellendoorn";"2021";"818"
"Hellevoetsluis";"2021";"1523"
"Helmond";"2021";"1784"
"Helvoirt";"2021";""
"Hendrik-Ido-Ambacht";"2021";"1826"
"Hengelo (Gld.)";"2021";""
"Hengelo (O.)";"2021";"1845"
"'s-Hertogenbosch";"2021";"1992"
"Heteren";"2021";""
"Heumen";"2021";"798"
"Heusden";"2021";"1098"
"Heythuysen";"2021";""
"Hillegom";"2021";"1569"
"Hilvarenbeek";"2021";"591"
"Hilversum";"2021";"2764"
"Hoeksche Waard";"2021";"834"
"Hoevelaken";"2021";""
"Hoeven";"2021";""
"Hof van Twente";"2021";"608"
"Het Hogeland";"2021";"414"
"Hollands Kroon";"2021";"433"
"Holten";"2021";""
"Hontenisse";"2021";""
"Hooge en Lage Mierde";"2021";""
"Hooge en Lage Zwaluwe";"2021";""
"Hoogeloon, Hapert en Casteren";"2021";""
"Hoogeveen";"2021";"1214"
"Hoogezand-Sappemeer";"2021";""
"Hoorn";"2021";"1701"
"Horst";"2021";""
"Horst aan de Maas";"2021";"571"
"Houten";"2021";"1548"
"Huijbergen";"2021";""
"Huissen";"2021";""
"Huizen";"2021";"2040"
"Hulst";"2021";"511"
"Hummelo en Keppel";"2021";""
"Hunsel";"2021";""
"IJsselham";"2021";""
"IJsselmuiden";"2021";""
"IJsselstein";"2021";"1862"
"Jacobswoude";"2021";""
"Kaag en Braassem";"2021";"631"
"Kampen";"2021";"1476"
"Kapelle";"2021";"653"
"Katwijk";"2021";"2163"
"Kerkrade";"2021";"1754"
"Kerkwijk";"2021";""
"Kessel";"2021";""
"Kesteren";"2021";""
"Klundert";"2021";""
"Koggenland";"2021";"435"
"Kollumerland en Nieuwkruisland";"2021";""
"Korendijk";"2021";""
"Krimpen aan den IJssel";"2021";"1976"
"Krimpenerwaard";"2021";"784"
"Laarbeek";"2021";"649"
"Land van Cuijk";"2021";""
"Landerd";"2021";"490"
"Landgraaf";"2021";"1457"
"Landsmeer";"2021";"1038"
"Langbroek";"2021";""
"Langedijk";"2021";"946"
"Lansingerland";"2021";"1337"
"Laren (NH.)";"2021";"1104"
"Leek";"2021";""
"Leende";"2021";""
"Leerdam";"2021";""
"Leersum";"2021";""
"Leeuwarden";"2021";"2148"
"Leeuwarderadeel";"2021";""
"Leiden";"2021";"3797"
"Leiderdorp";"2021";"2488"
"Leidschendam";"2021";""
"Leidschendam-Voorburg";"2021";"2916"
"Lelystad";"2021";"1382"
"Lemsterland";"2021";""
"Leudal";"2021";"391"
"Leusden";"2021";"1266"
"Lichtenvoorde";"2021";""
"Liemeer";"2021";""
"Liempde";"2021";""
"Lienden";"2021";""
"De Lier";"2021";""
"Lieshout";"2021";""
"Liesveld";"2021";""
"Limmen";"2021";""
"Lingewaal";"2021";""
"Lingewaard";"2021";"965"
"Lisse";"2021";"1653"
"Lith";"2021";""
"Littenseradiel";"2021";""
"Lochem";"2021";"595"
"Loenen";"2021";""
"Loon op Zand";"2021";"1073"
"Loosdrecht";"2021";""
"Lopik";"2021";"373"
"Loppersum";"2021";""
"Losser";"2021";"747"
"Luyksgestel";"2021";""
"Maarheeze";"2021";""
"Maarn";"2021";""
"Maarssen";"2021";""
"Maartensdijk";"2021";""
"Maasbracht";"2021";""
"Maasbree";"2021";""
"Maasdonk";"2021";""
"Maasdriel";"2021";"481"
"Maasgouw";"2021";"442"
"Maashorst";"2021";""
"Maasland";"2021";""
"Maassluis";"2021";"2010"
"Maastricht";"2021";"2520"
"Made";"2021";""
"Made en Drimmelen";"2021";""
"Margraten";"2021";""
"Mariekerke";"2021";""
"Markelo";"2021";""
"De Marne";"2021";""
"Marum";"2021";""
"Maurik";"2021";""
"Medemblik";"2021";"524"
"Meerlo-Wanssum";"2021";""
"Meerssen";"2021";"616"
"Meierijstad";"2021";"997"
"Meijel";"2021";""
"Menaldumadeel";"2021";""
"Menameradiel";"2021";""
"Menterwolde";"2021";""
"Meppel";"2021";"1287"
"Middelburg (Z.)";"2021";"1751"
"Middelharnis";"2021";""
"Midden-Delfland";"2021";"1335"
"Midden-Drenthe";"2021";"401"
"Midden-Groningen";"2021";"856"
"Middenschouwen";"2021";""
"Middenveld";"2021";""
"Mierlo";"2021";""
"Mill en Sint Hubert";"2021";"323"
"Millingen aan de Rijn";"2021";""
"Moerdijk";"2021";"748"
"Moergestel";"2021";""
"Molenlanden";"2021";"393"
"Molenwaard";"2021";""
"Monster";"2021";""
"Montferland";"2021";"770"
"Montfoort";"2021";"751"
"Mook en Middelaar";"2021";"433"
"Moordrecht";"2021";""
"Muiden";"2021";""
"Naaldwijk";"2021";""
"Naarden";"2021";""
"Neder-Betuwe";"2021";"443"
"Nederhorst den Berg";"2021";""
"Nederlek";"2021";""
"Nederweert";"2021";"646"
"Neede";"2021";""
"Neerijnen";"2021";""
"Niedorp";"2021";""
"Nieuwegein";"2021";"1926"
"Nieuwerkerk aan den IJssel";"2021";""
"Nieuw-Ginneken";"2021";""
"Nieuwkoop";"2021";"505"
"Nieuw-Lekkerland";"2021";""
"Nieuwleusen";"2021";""
"Nieuw-Vossemeer";"2021";""
"Nijefurd";"2021";""
"Nijeveen";"2021";""
"Nijkerk";"2021";"1117"
"Nijmegen";"2021";"2409"
"Nissewaard";"2021";"2039"
"Noardeast-Fryslân";"2021";"463"
"Noord-Beveland";"2021";"236"
"Noordenveld";"2021";"682"
"Noorder-Koggenland";"2021";""
"Noordoostpolder";"2021";"735"
"Noordwijk";"2021";"1399"
"Noordwijkerhout";"2021";""
"Nootdorp";"2021";""
"Norg";"2021";""
"Nuenen, Gerwen en Nederwetten";"2021";"1111"
"Nunspeet";"2021";"807"
"Nuth";"2021";""
"Obdam";"2021";""
"Odoorn";"2021";""
"Oegstgeest";"2021";"1770"
"Oirschot";"2021";"616"
"Oisterwijk";"2021";"925"
"Oldambt";"2021";"831"
"Oldebroek";"2021";"655"
"Oldenzaal";"2021";"1474"
"Olst";"2021";""
"Olst-Wijhe";"2021";"473"
"Ommen";"2021";"507"
"Onderbanken";"2021";""
"Oost Gelre";"2021";"737"
"Oost-, West- en Middelbeers";"2021";""
"Oostburg";"2021";""
"Oosterhesselen";"2021";""
"Oosterhout";"2021";"1538"
"Oostflakkee";"2021";""
"Ooststellingwerf";"2021";"482"
"Oostzaan";"2021";"1060"
"Ootmarsum";"2021";""
"Opmeer";"2021";"535"
"Opsterland";"2021";"412"
"Oss";"2021";"1401"
"Ossendrecht";"2021";""
"Oud en Nieuw Gastel";"2021";""
"Oud-Beijerland";"2021";""
"Oude IJsselstreek";"2021";"649"
"Oudenbosch";"2021";""
"Ouder-Amstel";"2021";"1320"
"Ouderkerk";"2021";""
"Oudewater";"2021";"845"
"Overbetuwe";"2021";"809"
"Papendrecht";"2021";"1914"
"Peel en Maas";"2021";"586"
"Peize";"2021";""
"Pekela";"2021";"533"
"Pijnacker";"2021";""
"Pijnacker-Nootdorp";"2021";"1527"
"Prinsenbeek";"2021";""
"Purmerend";"2021";"2253"
"Putte";"2021";""
"Putten";"2021";"914"
"Raalte";"2021";"665"
"Raamsdonk";"2021";""
"Ravenstein";"2021";""
"Reeuwijk";"2021";""
"Reiderland";"2021";""
"Reimerswaal";"2021";"518"
"Renkum";"2021";"917"
"Renswoude";"2021";"519"
"Reusel";"2021";""
"Reusel-De Mierden";"2021";"571"
"Rheden";"2021";"1458"
"Rhenen";"2021";"932"
"Ridderkerk";"2021";"1727"
"Riethoven";"2021";""
"Rijnsburg";"2021";""
"Rijnwaarden";"2021";""
"Rijnwoude";"2021";""
"Rijsbergen";"2021";""
"Rijssen";"2021";""
"Rijssen-Holten";"2021";"1095"
"Rijswijk (ZH.)";"2021";"3165"
"Roden";"2021";""
"Roerdalen";"2021";"387"
"Roermond";"2021";"1509"
"Roggel en Neer";"2021";""
"Rolde";"2021";""
"De Ronde Venen";"2021";"882"
"Roosendaal";"2021";"1745"
"Roosendaal en Nispen";"2021";""
"Rosmalen";"2021";""
"Rossum";"2021";""
"Rotterdam";"2021";"4012"
"Rozenburg";"2021";""
"Rozendaal";"2021";"948"
"Rucphen";"2021";"677"
"Ruinen";"2021";""
"Ruinerwold";"2021";""
"Ruurlo";"2021";""
"Sas van Gent";"2021";""
"Sassenheim";"2021";""
"Schagen";"2021";"744"
"Scheemda";"2021";""
"Schermer";"2021";""
"Scherpenzeel";"2021";"934"
"Schiedam";"2021";"3307"
"Schiermonnikoog";"2021";"317"
"Schijndel";"2021";""
"Schinnen";"2021";""
"Schipluiden";"2021";""
"Schoonebeek";"2021";""
"Schoonhoven";"2021";""
"Schoorl";"2021";""
"Schouwen-Duiveland";"2021";"490"
"Sevenum";"2021";""
"Simpelveld";"2021";"681"
"Sint Anthonis";"2021";"274"
"Sint-Michielsgestel";"2021";"635"
"Sint-Oedenrode";"2021";""
"Sittard";"2021";""
"Sittard-Geleen";"2021";"1504"
"Skarsterlân";"2021";""
"Sleen";"2021";""
"Sliedrecht";"2021";"1627"
"Slochteren";"2021";""
"Sluis";"2021";"434"
"Sluis-Aardenburg";"2021";""
"Smallingerland";"2021";"1341"
"Smilde";"2021";""
"Sneek";"2021";""
"Soest";"2021";"1469"
"Someren";"2021";"736"
"Son en Breugel";"2021";"695"
"Spijkenisse";"2021";""
"Sprang-Capelle";"2021";""
"St. Anthonis";"2021";""
"Stad Delden";"2021";""
"Stadskanaal";"2021";"836"
"Standdaarbuiten";"2021";""
"Staphorst";"2021";"356"
"Stede Broec";"2021";"1145"
"Steenbergen";"2021";"733"
"Steenderen";"2021";""
"Steenwijk";"2021";""
"Steenwijkerland";"2021";"592"
"Stein (L.)";"2021";"905"
"Stichtse Vecht";"2021";"1194"
"Stramproy";"2021";""
"Strijen";"2021";""
"Súdwest-Fryslân";"2021";"846"
"Susteren";"2021";""
"Swalmen";"2021";""
"Tegelen";"2021";""
"Terheijden";"2021";""
"Terneuzen";"2021";"876"
"Terschelling";"2021";"250"
"Teteringen";"2021";""
"Texel";"2021";"483"
"Teylingen";"2021";"1408"
"Tholen";"2021";"488"
"Thorn";"2021";""
"Tiel";"2021";"1435"
"Tilburg";"2021";"2807"
"Tubbergen";"2021";"296"
"Twenterand";"2021";"596"
"Tynaarlo";"2021";"510"
"Tytsjerksteradiel";"2021";"478"
"Ubbergen";"2021";""
"Uden";"2021";"1384"
"Udenhout";"2021";""
"Uitgeest";"2021";"1105"
"Uithoorn";"2021";"1445"
"Urk";"2021";"1076"
"Utrecht (gemeente)";"2021";"3479"
"Utrechtse Heuvelrug";"2021";"785"
"Vaals";"2021";"1058"
"Valburg";"2021";""
"Valkenburg (ZH.)";"2021";""
"Valkenburg aan de Geul";"2021";"680"
"Valkenisse";"2021";""
"Valkenswaard";"2021";"1484"
"Veendam";"2021";"1007"
"Veenendaal";"2021";"2200"
"Veere";"2021";"347"
"Veghel";"2021";""
"Veldhoven";"2021";"1684"
"Velsen";"2021";"1865"
"Venhuizen";"2021";""
"Venlo";"2021";"1660"
"Venray";"2021";"1024"
"Vessem, Wintelre en Knegsel";"2021";""
"Vianen";"2021";""
"Vierlingsbeek";"2021";""
"Vijfheerenlanden";"2021";"900"
"Vlaardingen";"2021";"2803"
"Vlagtwedde";"2021";""
"Vledder";"2021";""
"Vleuten-De Meern";"2021";""
"Vlieland";"2021";"213"
"Vlijmen";"2021";""
"Vlissingen";"2021";"1932"
"Vlist";"2021";""
"Voerendaal";"2021";"547"
"Voorburg";"2021";""
"Voorhout";"2021";""
"Voorne aan Zee";"2021";""
"Voorschoten";"2021";"1860"
"Voorst";"2021";"582"
"Vorden";"2021";""
"Vries";"2021";""
"Vriezenveen";"2021";""
"Vught";"2021";"1160"
"Waadhoeke";"2021";"474"
"Waalre";"2021";"858"
"Waalwijk";"2021";"1311"
"Waddinxveen";"2021";"1579"
"Wageningen";"2021";"2078"
"Warmond";"2021";""
"Warnsveld";"2021";""
"Waspik";"2021";""
"Wassenaar";"2021";"1447"
"Wateringen";"2021";""
"Waterland";"2021";"643"
"Weerselo";"2021";""
"Weert";"2021";"1346"
"Weesp";"2021";"1789"
"Wehl";"2021";""
"Werkendam";"2021";""
"Wervershoof";"2021";""
"West Betuwe";"2021";"458"
"West Maas en Waal";"2021";"428"
"Westerbork";"2021";""
"Westerhoven";"2021";""
"Wester-Koggenland";"2021";""
"Westerkwartier";"2021";"476"
"Westerschouwen";"2021";""
"Westerveld";"2021";"213"
"Westervoort";"2021";"1158"
"Westerwolde";"2021";"286"
"Westkapelle";"2021";""
"Westland";"2021";"1443"
"Weststellingwerf";"2021";"679"
"Westvoorne";"2021";"620"
"Wierden";"2021";"711"
"Wieringen";"2021";""
"Wieringermeer";"2021";""
"Wijchen";"2021";"1234"
"Wijdemeren";"2021";"595"
"Wijhe";"2021";""
"De Wijk";"2021";""
"Wijk bij Duurstede";"2021";"1140"
"Willemstad";"2021";""
"Winschoten";"2021";""
"Winsum";"2021";""
"Winterswijk";"2021";"1214"
"Wisch";"2021";""
"Wittem";"2021";""
"Woensdrecht";"2021";"665"
"Woerden";"2021";"1390"
"Wognum";"2021";""
"De Wolden";"2021";"311"
"Wormerland";"2021";"1440"
"Woudenberg";"2021";"973"
"Woudrichem";"2021";""
"Wouw";"2021";""
"Wûnseradiel";"2021";""
"Wymbritseradiel";"2021";""
"Zaanstad";"2021";"2053"
"Zaltbommel";"2021";"700"
"Zandvoort";"2021";"1814"
"Zederik";"2021";""
"Zeevang";"2021";""
"Zeewolde";"2021";"822"
"Zeist";"2021";"1601"
"Zelhem";"2021";""
"Zevenaar";"2021";"1046"
"Zevenbergen";"2021";""
"Zevenhuizen-Moerkapelle";"2021";""
"Zierikzee";"2021";""
"Zijpe";"2021";""
"Zoetermeer";"2021";"2513"
"Zoeterwoude";"2021";"804"
"Zuidhorn";"2021";""
"Zuidlaren";"2021";""
"Zuidplas";"2021";"1191"
"Zuidwolde";"2021";""
"Zundert";"2021";"565"
"Zutphen";"2021";"1658"
"Zwartewaterland";"2021";"725"
"Zwartsluis";"2021";""
"Zweeloo";"2021";""
"Zwijndrecht";"2021";"2091"
"Zwolle";"2021";"2081"
"Bron: CBS"
